Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.333570498420649005e-07,-4.256148242501832379e-08,1.759185322670900006e-07,1.759185322670900006e-07
5.000000000000000278e-02,6.850874377564686833e-07,-2.399172855391067637e-07,9.250047232956025520e-07,9.250047232956025520e-07
7.500000000000001110e-02,1.928239963856510225e-06,-7.433791181123269518e-07,2.671619081968891387e-06,2.671619081968891387e-06
1.000000000000000056e-01,4.049030862632221200e-06,-1.723796013411785233e-06,5.772826876044006433e-06,5.772826876044006433e-06
1.250000000000000000e-01,7.094117233587878685e-06,-3.350103402046311282e-06,1.044422063563462365e-05,1.044422063563462365e-05
1.500000000000000222e-01,1.092485670703673833e-05,-5.747179366508148313e-06,1.667203607354488665e-05,1.667203607354488665e-05
1.750000000000000167e-01,1.519158538842643735e-05,-8.947785460405519031e-06,2.413937084883108902e-05,2.413937084883108902e-05
2.000000000000000111e-01,1.933473158234264022e-05,-1.285943204409369101e-05,3.219416362643676491e-05,3.219416362643676491e-05
2.250000000000000056e-01,2.261069262664804069e-05,-1.726143925622446174e-05,3.987213188287250243e-05,3.987213188287250243e-05
2.500000000000000000e-01,2.413444435964313961e-05,-2.183225714377529797e-05,4.596670150341670286e-05,4.596670150341670286e-05
2.750000000000000222e-01,2.292924123924872104e-05,-2.619204000063775351e-05,4.912128123988473982e-05,4.912128123988473982e-05
3.000000000000000444e-01,1.797553112916835949e-05,-2.994078832191382489e-05,4.791631945108305174e-05,4.791631945108305174e-05
3.250000000000000111e-01,8.255293400490082423e-06,-3.268048916715664276e-05,4.093578256764499046e-05,4.093578256764499046e-05
3.500000000000000333e-01,-7.207610197321884238e-06,-3.402333123843533091e-05,2.681572104111171195e-05,2.681572104111171195e-05
3.750000000000000000e-01,-2.930839584062636116e-05,-3.359651140978983652e-05,4.288115569165210084e-06,4.288115569165210084e-06
4.000000000000000222e-01,-5.882178525588865892e-05,-3.105246800503939919e-05,-2.776931725085272917e-05,-2.776931725085272917e-05
4.250000000000000444e-01,-9.636243495929341929e-05,-2.608602144150290458e-05,-7.027641351779051471e-05,-7.027641351779051471e-05
4.500000000000000111e-01,-1.423483294299074386e-04,-1.845471067447174152e-05,-1.238936187554322277e-04,-1.238936187554322277e-04
4.750000000000000333e-01,-1.969714611634795776e-04,-7.998529295470679923e-06,-1.889729318680158365e-04,-1.889729318680158365e-04
5.000000000000000000e-01,-2.601803265689997535e-04,5.343014180470700980e-06,-2.655233407494635156e-04,-2.655233407494635156e-04
5.250000000000000222e-01,-3.316790126486612866e-04,2.151901501629138735e-05,-3.531980276649526740e-04,-3.531980276649526740e-04
5.500000000000000444e-01,-4.109472758788701441e-04,4.036478331516032969e-05,-4.513120591940270043e-04,-4.513120591940270043e-04
5.750000000000000666e-01,-4.972817239590338056e-04,6.161221355990842419e-05,-5.588939375189422298e-04,-5.588939375189422298e-04
6.000000000000000888e-01,-5.898504850852803738e-04,8.491115434953663832e-05,-6.747616394348135427e-04,-6.747616394348135427e-04
6.250000000000000000e-01,-6.877491539187263747e-04,1.098555174878917962e-04,-7.976046714066042931e-04,-7.976046714066042931e-04
6.500000000000000222e-01,-7.900477595346871995e-04,1.360080088145393384e-04,-9.260557683492404157e-04,-9.260557683492404157e-04
6.750000000000000444e-01,-8.958223054385122675e-04,1.629207066485907629e-04,-1.058743012087109969e-03,-1.058743012087109969e-03
7.000000000000000666e-01,-1.004166971031755784e-03,1.901514311421700909e-04,-1.194318402173911997e-03,-1.194318402173911997e-03
7.250000000000000888e-01,-1.114189229106402057e-03,2.172768354533408108e-04,-1.331466064559735929e-03,-1.331466064559735929e-03
7.500000000000000000e-01,-1.225002401271615970e-03,2.439036286574630674e-04,-1.468906029929079038e-03,-1.468906029929079038e-03
7.750000000000000222e-01,-1.335738610601100440e-03,2.696796322732356033e-04,-1.605418242874342982e-03,-1.605418242874342982e-03
