Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter2_Right_X_Displacement_Delta(m),Iter2_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad),Iter2_Right_Rotation_Delta(rad),Iter2_Left_Rotation_Delta(rad)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.333570498420649005e-07,-4.256148242501832379e-08,1.727222616171840159e-07,-5.530475433100884124e-08,1.759185322670900006e-07,1.759185322670900006e-07,2.280270159481928571e-07,2.280270159481928571e-07
5.000000000000000278e-02,6.850874377564686833e-07,-2.399172855391067637e-07,8.573265556698701946e-07,-2.852514368652941945e-07,9.250047232956025520e-07,9.250047232956025520e-07,1.142577992535164389e-06,1.142577992535164389e-06
7.500000000000001110e-02,1.928239963856510225e-06,-7.433791181123269518e-07,2.343178931426236067e-06,-8.244925905110962044e-07,2.671619081968891387e-06,2.671619081968891387e-06,3.167671521937332271e-06,3.167671521937332271e-06
1.000000000000000056e-01,4.049030862632221200e-06,-1.723796013411785233e-06,4.806344135481607424e-06,-1.816838654603849731e-06,5.772826876044006433e-06,5.772826876044006433e-06,6.623182790085131895e-06,6.623182790085131895e-06
1.250000000000000000e-01,7.094117233587878685e-06,-3.350103402046311282e-06,8.264090566141839983e-06,-3.398106052750725359e-06,1.044422063563462365e-05,1.044422063563462365e-05,1.166219661889278218e-05,1.166219661889278218e-05
1.500000000000000222e-01,1.092485670703673833e-05,-5.747179366508148313e-06,1.254553682258040259e-05,-5.662978377934686086e-06,1.667203607354488665e-05,1.667203607354488665e-05,1.820851520051487184e-05,1.820851520051487184e-05
1.750000000000000167e-01,1.519158538842643735e-05,-8.947785460405519031e-06,1.727971038582420266e-05,-8.624618642522671047e-06,2.413937084883108902e-05,2.413937084883108902e-05,2.590432902834600634e-05,2.590432902834600634e-05
2.000000000000000111e-01,1.933473158234264022e-05,-1.285943204409369101e-05,2.189887349289716678e-05,-1.218205662421260188e-05,3.219416362643676491e-05,3.219416362643676491e-05,3.408093011711020234e-05,3.408093011711020234e-05
2.250000000000000056e-01,2.261069262664804069e-05,-1.726143925622446174e-05,2.565606555487986995e-05,-1.610972887617061894e-05,3.987213188287250243e-05,3.987213188287250243e-05,4.176579443105222361e-05,4.176579443105222361e-05
2.500000000000000000e-01,2.413444435964313961e-05,-2.183225714377529797e-05,2.765815657250828008e-05,-2.007387642097725050e-05,4.596670150341670286e-05,4.596670150341670286e-05,4.773203299348379586e-05,4.773203299348379586e-05
2.750000000000000222e-01,2.292924123924872104e-05,-2.619204000063775351e-05,2.691322938042604862e-05,-2.366700516482581756e-05,4.912128123988473982e-05,4.912128123988473982e-05,5.058023454525186619e-05,5.058023454525186619e-05
3.000000000000000444e-01,1.797553112916835949e-05,-2.994078832191382489e-05,2.238460302668443536e-05,-2.644443894907373693e-05,4.791631945108305174e-05,4.791631945108305174e-05,4.882904197575990701e-05,4.882904197575990701e-05
3.250000000000000111e-01,8.255293400490082423e-06,-3.268048916715664276e-05,1.304117895056799981e-05,-2.795187760237100028e-05,4.093578256764499046e-05,4.093578256764499046e-05,4.099305655294073480e-05,4.099305655294073480e-05
3.500000000000000333e-01,-7.207610197321884238e-06,-3.402333123843533091e-05,-2.100381303896114993e-06,-2.774464832261056002e-05,2.681572104111171195e-05,2.681572104111171195e-05,2.564426701871791447e-05,2.564426701871791447e-05
3.750000000000000000e-01,-2.930839584062636116e-05,-3.359651140978983652e-05,-2.393721817221458603e-05,-2.540673268854910793e-05,4.288115569165210084e-06,4.288115569165210084e-06,1.469514516337991350e-06,1.469514516337991350e-06
4.000000000000000222e-01,-5.882178525588865892e-05,-3.105246800503939919e-05,-5.323883836164458594e-05,-2.057476173609150416e-05,-2.776931725085272917e-05,-2.776931725085272917e-05,-3.266407662555481650e-05,-3.266407662555481650e-05
4.250000000000000444e-01,-9.636243495929341929e-05,-2.608602144150290458e-05,-9.060333808968978886e-05,-1.296392213561911588e-05,-7.027641351779051471e-05,-7.027641351779051471e-05,-7.763941595406026464e-05,-7.763941595406026464e-05
4.500000000000000111e-01,-1.423483294299074386e-04,-1.845471067447174152e-05,-1.364212566323727560e-04,-2.388356949944298036e-06,-1.238936187554322277e-04,-1.238936187554322277e-04,-1.340328996824249885e-04,-1.340328996824249885e-04
4.750000000000000333e-01,-1.969714611634795776e-04,-7.998529295470679923e-06,-1.908574410266553056e-04,1.122860467561714870e-05,-1.889729318680158365e-04,-1.889729318680158365e-04,-2.020860457022793932e-04,-2.020860457022793932e-04
5.000000000000000000e-01,-2.601803265689997535e-04,5.343014180470700980e-06,-2.538514148884840615e-04,2.785394958434994628e-05,-2.655233407494635156e-04,-2.655233407494635156e-04,-2.817053644728340078e-04,-2.817053644728340078e-04
5.250000000000000222e-01,-3.316790126486612866e-04,2.151901501629138735e-05,-3.251268467476323143e-04,4.735167240531648614e-05,-3.531980276649526740e-04,-3.531980276649526740e-04,-3.724785191529522699e-04,-3.724785191529522699e-04
5.500000000000000444e-01,-4.109472758788701441e-04,4.036478331516032969e-05,-4.042011993846961193e-04,6.949492027256282123e-05,-4.513120591940270043e-04,-4.513120591940270043e-04,-4.736961196572554711e-04,-4.736961196572554711e-04
5.750000000000000666e-01,-4.972817239590338056e-04,6.161221355990842419e-05,-4.903968803400410303e-04,9.398228904813898943e-05,-5.588939375189422298e-04,-5.588939375189422298e-04,-5.843791693881800198e-04,-5.843791693881800198e-04
6.000000000000000888e-01,-5.898504850852803738e-04,8.491115434953663832e-05,-5.828650468304302779e-04,1.204560645009788988e-04,-6.747616394348135427e-04,-6.747616394348135427e-04,-7.033211113314022378e-04,-7.033211113314022378e-04
6.250000000000000000e-01,-6.877491539187263747e-04,1.098555174878917962e-04,-6.806325598108509123e-04,1.485198327691866771e-04,-7.976046714066042931e-04,-7.976046714066042931e-04,-8.291523925800375894e-04,-8.291523925800375894e-04
6.500000000000000222e-01,-7.900477595346871995e-04,1.360080088145393384e-04,-7.826696049795939247e-04,1.777540281569858771e-04,-9.260557683492404157e-04,-9.260557683492404157e-04,-9.604236331365798018e-04,-9.604236331365798018e-04
6.750000000000000444e-01,-8.958223054385122675e-04,1.629207066485907629e-04,-8.879593704161498069e-04,2.077295806818882373e-04,-1.058743012087109969e-03,-1.058743012087109969e-03,-1.095688951098024166e-03,-1.095688951098024166e-03
7.000000000000000666e-01,-1.004166971031755784e-03,1.901514311421700909e-04,-9.955460715506403435e-04,2.380210165168206160e-04,-1.194318402173911997e-03,-1.194318402173911997e-03,-1.233567088067460960e-03,-1.233567088067460960e-03
7.250000000000000888e-01,-1.114189229106402057e-03,2.172768354533408108e-04,-1.104549615231861792e-03,2.682208911979483412e-04,-1.331466064559735929e-03,-1.331466064559735929e-03,-1.372770506429824011e-03,-1.372770506429824011e-03
7.500000000000000000e-01,-1.225002401271615970e-03,2.439036286574630674e-04,-1.214155774095559970e-03,2.979565232771388961e-04,-1.468906029929079038e-03,-1.468906029929079038e-03,-1.512112297372684988e-03,-1.512112297372684988e-03
7.750000000000000222e-01,-1.335738610601100440e-03,2.696796322732356033e-04,-1.323605419539908290e-03,3.269076728959138811e-04,-1.605418242874342982e-03,-1.605418242874342982e-03,-1.650513092435822171e-03,-1.650513092435822171e-03
8.000000000000000444e-01,-1.445596358598630338e-03,2.943053384431987274e-04,-1.432206573775865466e-03,3.548220139195368272e-04,-1.739901697041836004e-03,-1.739901697041836004e-03,-1.787028587695409232e-03,-1.787028587695409232e-03
8.250000000000000666e-01,-1.553912652201269728e-03,3.175444141064603931e-04,-1.539379406855445609e-03,3.815256175700096342e-04,-1.871457066307730122e-03,-1.871457066307730122e-03,-1.920905024425462182e-03,-1.920905024425462182e-03
8.500000000000000888e-01,-1.660229795362719307e-03,3.392310524202302169e-04,-1.644724584695833602e-03,4.069278917355825809e-04,-1.999460847782963402e-03,-1.999460847782963402e-03,-2.051652476431437000e-03,-2.051652476431437000e-03
8.750000000000000000e-01,-1.764330545024811459e-03,3.592750518020756956e-04,-1.748090470770014004e-03,4.310232169451311268e-04,-2.123605596826907971e-03,-2.123605596826907971e-03,-2.179113687715159009e-03,-2.179113687715159009e-03
9.000000000000000222e-01,-1.866238332431213731e-03,3.776685728561421374e-04,-1.849611937274148188e-03,4.538928744145381833e-04,-2.243906905287348930e-03,-2.243906905287348930e-03,-2.303504811688700249e-03,-2.303504811688700249e-03
9.250000000000000444e-01,-1.966198765206345067e-03,3.944962732394668992e-04,-1.949702802701763771e-03,4.757082278738639092e-04,-2.360695038445798088e-03,-2.360695038445798088e-03,-2.425411030575655436e-03,-2.425411030575655436e-03
9.500000000000000666e-01,-2.064658135956604079e-03,4.099432233534705539e-04,-2.048999843116072750e-03,4.967297354595140435e-04,-2.474601359310074633e-03,-2.474601359310074633e-03,-2.545729578575559038e-03,-2.545729578575559038e-03
9.750000000000000888e-01,-2.162238718030007334e-03,4.242896145804503361e-04,-2.148271734116052878e-03,5.172916160954138531e-04,-2.586528332610485426e-03,-2.586528332610485426e-03,-2.665563350211508364e-03,-2.665563350211508364e-03
1.000000000000000000e+00,-2.259696218160522907e-03,4.378842022382534171e-04,-2.248315073569540079e-03,5.377651361600926938e-04,-2.697580420398762446e-03,-2.697580420398762446e-03,-2.786080209729618895e-03,-2.786080209729618895e-03
1.025000000000000133e+00,-2.357846087295945026e-03,4.510992119271806100e-04,-2.349860295323302761e-03,5.585047190654474081e-04,-2.808945299223153391e-03,-2.808945299223153391e-03,-2.908365014388736292e-03,-2.908365014388736292e-03
1.050000000000000044e+00,-2.457463895117556474e-03,4.642807962546291467e-04,-2.453504661742655912e-03,5.797932691392476690e-04,-2.921744691372157865e-03,-2.921744691372157865e-03,-3.033297930881889704e-03,-3.033297930881889704e-03
1.074999999999999956e+00,-2.559186229676102542e-03,4.777120546864965789e-04,-2.559678801369175138e-03,6.018073738305595999e-04,-3.036898284362626876e-03,-3.036898284362626876e-03,-3.161486175199734738e-03,-3.161486175199734738e-03
1.100000000000000089e+00,-2.663442873571120195e-03,4.915968034216455784e-04,-2.668640280593298497e-03,6.246155498322303323e-04,-3.155039676992738018e-03,-3.155039676992738018e-03,-3.293255830425501074e-03,-3.293255830425501074e-03
1.125000000000000000e+00,-2.770432885503659737e-03,5.060583531838608318e-04,-2.780479746357006343e-03,6.482068034168314563e-04,-3.276491238687548324e-03,-3.276491238687548324e-03,-3.428686549773837799e-03,-3.428686549773837799e-03
1.150000000000000133e+00,-2.880131723477452610e-03,5.211401598864129348e-04,-2.895126871469255736e-03,6.725307017297621481e-04,-3.401271883363865545e-03,-3.401271883363865545e-03,-3.567657573199059517e-03,-3.567657573199059517e-03
1.175000000000000044e+00,-2.992304284325619790e-03,5.368001757079521319e-04,-3.012350453440559850e-03,6.975232927666497051e-04,-3.529104460033585799e-03,-3.529104460033585799e-03,-3.709873746207237311e-03,-3.709873746207237311e-03
1.200000000000000178e+00,-3.106507522108670205e-03,5.529028315163220242e-04,-3.131753038732004724e-03,7.231015798154355467e-04,-3.659410353625019985e-03,-3.659410353625019985e-03,-3.854854618547440270e-03,-3.854854618547440270e-03
1.225000000000000089e+00,-3.222086418708441924e-03,5.692207332245458051e-04,-3.252764183200695935e-03,7.491298243641614230e-04,-3.791307151932987729e-03,-3.791307151932987729e-03,-4.001894007564843481e-03,-4.001894007564843481e-03
1.250000000000000000e+00,-3.338180889225467185e-03,5.854547423698314157e-04,-3.374639224854758535e-03,7.753806279769959175e-04,-3.923635631595284723e-03,-3.923635631595284723e-03,-4.150019852831740574e-03,-4.150019852831740574e-03
1.275000000000000133e+00,-3.453758173453475022e-03,6.012681974105898997e-04,-3.496471337996964746e-03,8.015184608234082742e-04,-4.055026370864051044e-03,-4.055026370864051044e-03,-4.297989798820359142e-03,-4.297989798820359142e-03
1.300000000000000044e+00,-3.567670467281791602e-03,6.163196546576099610e-04,-3.617222196594577222e-03,8.271202575673014534e-04,-4.183990121939373807e-03,-4.183990121939373807e-03,-4.444342454161892553e-03,-4.444342454161892553e-03
1.325000000000000178e+00,-3.678725597352938692e-03,6.302797689147904281e-04,-3.735771416172262160e-03,8.517270792268993862e-04,-4.309005366267742998e-03,-4.309005366267742998e-03,-4.587498495399161547e-03,-4.587498495399161547e-03
1.350000000000000089e+00,-3.785757912835530092e-03,6.428316286277852010e-04,-3.850979285794142726e-03,8.749060064302816020e-04,-4.428589541463329171e-03,-4.428589541463329171e-03,-4.725885292224479839e-03,-4.725885292224479839e-03
1.375000000000000000e+00,-3.887691922540736922e-03,6.536674696542288387e-04,-3.961753755868491211e-03,8.962994920001798871e-04,-4.541359392194993516e-03,-4.541359392194993516e-03,-4.858053247868698854e-03,-4.858053247868698854e-03
1.400000000000000133e+00,-3.983593537548790753e-03,6.624957253449081929e-04,-4.067112982129972298e-03,9.156487098288534909e-04,-4.646089262893643435e-03,-4.646089262893643435e-03,-4.982761691958825789e-03,-4.982761691958825789e-03
1.425000000000000044e+00,-4.072703661567589339e-03,6.690610750406666973e-04,-4.166238315189252361e-03,9.327902784428687699e-04,-4.741764736608283792e-03,-4.741764736608283792e-03,-5.099028593632176642e-03,-5.099028593632176642e-03
1.450000000000000178e+00,-4.154452898884553047e-03,6.731681877633344246e-04,-4.258516298334513728e-03,9.476347546449326309e-04,-4.827621086647887472e-03,-4.827621086647887472e-03,-5.206151052979363092e-03,-5.206151052979363092e-03
1.475000000000000089e+00,-4.228463787184888467e-03,6.746973594447813749e-04,-4.343568513715423407e-03,9.601388549629885638e-04,-4.903161146629669842e-03,-4.903161146629669842e-03,-5.303707368678467482e-03,-5.303707368678467482e-03
1.500000000000000000e+00,-4.294550378112993450e-03,6.736068693440899757e-04,-4.421265164372689682e-03,9.702834982290298171e-04,-4.968157247457055670e-03,-4.968157247457055670e-03,-5.391548662601663988e-03,-5.391548662601663988e-03
