Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,1.051365236503551265e-01,4.830000000000000959e-02,1.055400000000005813e-03,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.021086287232428114e-01,1.207999999999999630e-01,1.056399999999996404e-03,7.871434926494426387e-04,6.702286879829548200e-05,5.082680309114559101e-05
5.000000000000000278e-02,2.156692355778530579e-01,2.290999999999999703e-01,1.073300000000003375e-03,7.993607974134029313e-04,2.668056952637789538e-04,2.010420173159032319e-04
7.500000000000001110e-02,4.081679363524181592e-01,3.775999999999999357e-01,1.141099999999994506e-03,8.499753457212385222e-04,5.968952994166163480e-04,4.469357068922748884e-04
1.000000000000000056e-01,4.448845122313513922e-01,4.805999999999999717e-01,1.343100000000006788e-03,1.001818990644745078e-03,1.054974488746433922e-03,7.865948463040428476e-04
1.250000000000000000e-01,5.008865685753430830e-01,5.997000000000000108e-01,1.792599999999993157e-03,1.340412865531645081e-03,1.638655543823389895e-03,1.220155261826579842e-03
1.500000000000000222e-01,9.314725818828879789e-02,5.535999999999999810e-01,2.257800000000003381e-03,1.694714703686494000e-03,2.345274512087395114e-03,1.749924089995799799e-03
1.750000000000000167e-01,-2.543351709513902437e-01,5.775000000000000133e-01,3.227500000000006405e-03,2.450442269800038805e-03,3.171706577421984623e-03,2.380359207661910965e-03
2.000000000000000111e-01,-2.027400151345173096e-01,4.635999999999999566e-01,3.953800000000001237e-03,3.029891581462156036e-03,4.114220021205330924e-03,3.117902167277429408e-03
2.250000000000000056e-01,-6.221031831105476861e-01,1.760999999999999788e-01,5.093800000000001625e-03,3.965388060531116823e-03,5.168383227844352244e-03,3.970670534492083334e-03
2.500000000000000000e-01,-6.131188908826741280e-01,-5.370000000000007406e-02,5.991799999999997649e-03,4.729842272904633514e-03,6.329035923649961419e-03,4.948024109801767156e-03
2.750000000000000222e-01,-1.353027053823204984e+00,-3.293000000000000371e-01,7.165099999999995431e-03,5.768313177841259687e-03,7.590331780642623101e-03,6.060027618853943733e-03
3.000000000000000444e-01,-1.347578249667091832e+00,-5.700999999999999401e-01,8.664900000000003155e-03,7.161085920932733911e-03,8.945854074521857047e-03,7.316840248133006132e-03
3.250000000000000111e-01,-2.294708481620655771e+00,-8.291000000000000592e-01,1.004770000000000663e-02,8.513716091228340152e-03,1.038879946343380933e-02,8.728069387642639967e-03
3.500000000000000333e-01,-1.908612028947195727e+00,-1.140499999999999847e+00,1.174120000000000719e-02,1.025555468471868112e-02,1.191221830436913626e-02,1.030213073355462639e-02
3.750000000000000000e-01,-1.948961445278621030e+00,-1.321099999999999941e+00,1.299580000000000353e-02,1.161167551351827490e-02,1.350929469537105916e-02,1.204565792338434249e-02
4.000000000000000222e-01,-2.257750438194141562e+00,-1.502400000000000180e+00,1.508700000000000319e-02,1.399754060099452427e-02,1.517364641401305371e-02,1.396300155497408324e-02
4.250000000000000444e-01,-2.786297310179760789e+00,-1.665500000000000203e+00,1.673950000000000785e-02,1.599070660677204617e-02,1.689962387273288152e-02,1.605585057819816641e-02
4.500000000000000111e-01,-2.620317890076059530e+00,-1.685400000000000009e+00,1.844799999999999218e-02,1.814095224522906460e-02,1.868258743992018411e-02,1.832300001176299931e-02
4.750000000000000333e-01,-2.578154255078104917e+00,-1.710199999999999942e+00,2.020919999999999661e-02,2.044827751636556570e-02,2.051914367059825758e-02,2.076027874939553874e-02
5.000000000000000000e-01,-2.665030301715699768e+00,-1.692500000000000338e+00,2.203159999999999841e-02,2.292140906644152959e-02,2.240732335967607347e-02,2.336064030990647397e-02
5.250000000000000222e-01,-2.002339503233401707e+00,-1.587600000000000122e+00,2.390949999999999326e-02,2.554638426144100263e-02,2.434668805413933712e-02,2.611440806721857660e-02
5.500000000000000444e-01,-2.672909993165355491e+00,-1.383799999999999919e+00,2.582219999999999654e-02,2.827956987006412237e-02,2.633835637310413119e-02,2.900965575235460794e-02
5.750000000000000666e-01,-2.107780203573606848e+00,-1.181300000000000239e+00,2.810559999999999448e-02,3.160267676586132196e-02,2.838494642478910090e-02,3.203269539093510365e-02
6.000000000000000888e-01,-1.275594979106370319e+00,-9.384000000000000119e-01,3.012040000000000550e-02,3.456624583574769566e-02,3.049043530529565310e-02,3.516863906460842432e-02
6.250000000000000000e-01,-1.720339992442727173e+00,-7.096000000000001195e-01,3.252649999999999986e-02,3.811624553430416340e-02,3.265994121057756716e-02,3.840199736482807075e-02
6.500000000000000222e-01,-1.248171705578112745e+00,-4.239000000000000545e-01,3.429340000000000860e-02,4.071155013201972761e-02,3.489943817820955613e-02,4.171727569184079804e-02
6.750000000000000444e-01,-3.650237170942037812e-01,-4.649999999999997885e-02,3.724530000000000202e-02,4.499458811641381117e-02,3.721541748341679334e-02,4.509953033219925994e-02
7.000000000000000666e-01,-5.857531553840668037e-01,1.761999999999999678e-01,3.955929999999999169e-02,4.829151507343110855e-02,3.961451265992743664e-02,4.853485006335506169e-02
7.250000000000000888e-01,-2.381104254472542481e-01,4.862999999999999545e-01,4.153700000000000447e-02,5.105437127933812325e-02,4.210310676912403655e-02,5.201073513136028614e-02
7.500000000000000000e-01,-6.818618622942715368e-02,6.353999999999999648e-01,4.398029999999999995e-02,5.438795015064729760e-02,4.468694098659509867e-02,5.551635289587286692e-02
7.750000000000000222e-01,3.702773926414194006e-01,8.104000000000000092e-01,4.696210000000000662e-02,5.833239426015448398e-02,4.737074289170870728e-02,5.904265849202719463e-02
8.000000000000000444e-01,3.002778724975562752e-01,9.052000000000000046e-01,4.963220000000000132e-02,6.174800360630738894e-02,5.015789103888558531e-02,6.258238017812681186e-02
8.250000000000000666e-01,5.312233217562171810e-03,8.467000000000000082e-01,5.237839999999999857e-02,6.515663163545230840e-02,5.305012965150870952e-02,6.612988163333700931e-02
8.500000000000000888e-01,4.054617594377735168e-01,8.354999999999999094e-01,5.568689999999999751e-02,6.912027436673143233e-02,5.604734411884966516e-02,6.968092427396167798e-02
8.750000000000000000e-01,7.325196276262795347e-01,7.842999999999999972e-01,5.812989999999999824e-02,7.195643440122222179e-02,5.914740482014774203e-02,7.323235892392927771e-02
9.000000000000000222e-01,-4.211380318201967121e-01,4.959999999999999964e-01,6.165870000000000378e-02,7.592705844950931038e-02,6.234608354968547428e-02,7.678177812871235519e-02
9.250000000000000444e-01,-2.617497420784493101e-01,3.434999999999999720e-01,6.480530000000001012e-02,7.935837575893016360e-02,6.563704315895928232e-02,8.032716055073786665e-02
9.500000000000000666e-01,-2.418755743825046489e-01,1.863999999999999546e-01,6.857810000000000294e-02,8.336041573375317648e-02,6.901189718862563161e-02,8.386653874922979368e-02
9.750000000000000888e-01,-9.616290960637258189e-01,-1.986999999999999877e-01,7.243760000000000476e-02,8.734151175755222596e-02,7.246033307823412928e-02,8.739772020050878831e-02
1.000000000000000000e+00,-2.995094769838226867e-01,-3.584000000000000519e-01,7.580169999999999964e-02,9.073617715268121608e-02,7.597029075385426655e-02,9.091808665258074851e-02
1.025000000000000133e+00,-9.062575978294842294e-01,-5.394999999999999796e-01,7.861660000000000870e-02,9.353393994362811659e-02,7.952818799757724322e-02,9.442448797955801942e-02
1.050000000000000044e+00,-1.376073660691649492e+00,-7.668000000000000371e-01,8.314929999999999544e-02,9.796533091444172003e-02,8.311918425959001488e-02,9.791323485914936453e-02
1.074999999999999956e+00,-5.086761903305451193e-01,-7.853999999999999870e-01,8.600299999999999612e-02,1.007212058033407631e-01,8.672747452727366801e-02,1.013801829380033409e-01
