Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Right
0.000000000000000000e+00,4.523040248861212587e-02,9.239999999999998215e-02,1.841300000000004045e-03,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.462170021962233279e-01
2.500000000000000139e-02,1.893406694254923250e-01,1.847000000000000031e-01,1.841899999999995494e-03,7.871434926494426387e-04,1.178496718894410866e-04,5.082680309114559101e-05,1.180223941510582706e-04,5.105483010709378387e-05,1.727222616171840159e-07,2.280270159481928571e-07,1.462170021962233279e-01
5.000000000000000278e-02,2.721101396508101011e-01,2.898999999999999910e-01,1.862200000000001354e-03,7.958701389094143073e-04,4.678477125796821857e-04,2.010420173159032319e-04,4.687050391353520559e-04,2.021845953084383963e-04,8.573265556698701946e-07,1.142577992535164389e-06,1.462170021962233279e-01
7.500000000000001110e-02,3.872036050225937109e-01,4.179999999999999827e-01,2.044399999999996134e-03,8.726646259971647954e-04,1.043831006308891182e-03,4.469357068922748884e-04,1.046174185240317418e-03,4.501033784142122207e-04,2.343178931426236067e-06,3.167671521937332271e-06,1.462170021962233279e-01
1.000000000000000056e-01,3.705612888060470511e-01,5.263999999999999790e-01,2.465599999999994879e-03,1.054178868204575089e-03,1.841569335050476661e-03,7.865948463040428476e-04,1.846375679185958268e-03,7.932180290941279795e-04,4.806344135481607424e-06,6.623182790085131895e-06,1.462170021962233279e-01
1.250000000000000000e-01,2.983839424391632189e-01,4.046000000000000152e-01,3.179599999999993803e-03,1.359611487303582621e-03,2.858810805649969738e-03,1.220155261826579842e-03,2.867074896216111578e-03,1.231817458445472625e-03,8.264090566141839983e-06,1.166219661889278218e-05,1.462170021962233279e-01
1.500000000000000222e-01,-1.400872281256616558e+00,4.067999999999999949e-01,4.186400000000005915e-03,1.795943800302165182e-03,4.095198602083194479e-03,1.749924089995799799e-03,4.107744138905774882e-03,1.768132605196314671e-03,1.254553682258040259e-05,1.820851520051487184e-05,1.462170021962233279e-01
1.750000000000000167e-01,-7.964910062493019138e-01,2.917000000000000148e-01,5.712199999999996274e-03,2.464404903815993302e-03,5.552065785083894721e-03,2.380359207661910965e-03,5.569345495469718924e-03,2.406263536690256971e-03,1.727971038582420266e-05,2.590432902834600634e-05,1.462170021962233279e-01
2.000000000000000111e-01,-9.653029382903177691e-01,-8.250000000000001776e-02,7.287300000000001762e-03,3.164281933865719255e-03,7.232122188482760332e-03,3.117902167277429408e-03,7.254021061975657499e-03,3.151983097394539610e-03,2.189887349289716678e-05,3.408093011711020234e-05,1.462170021962233279e-01
2.250000000000000056e-01,-1.851537954248249518e+00,-4.628999999999999782e-01,9.075999999999993795e-03,3.972369377539093638e-03,9.139053762336436446e-03,3.970670534492083334e-03,9.164709827891316316e-03,4.012436328923135558e-03,2.565606555487986995e-05,4.176579443105222361e-05,1.462170021962233279e-01
2.500000000000000000e-01,-2.166513128856742298e+00,-1.052100000000000035e+00,1.144020000000000453e-02,5.063200160035550255e-03,1.127706003345172771e-02,4.948024109801767156e-03,1.130471819002423599e-02,4.995756142795250952e-03,2.765815657250828008e-05,4.773203299348379586e-05,1.462170021962233279e-01
2.750000000000000222e-01,-2.931782873656153754e+00,-1.360100000000000087e+00,1.370359999999999460e-02,6.131341662256080058e-03,1.365035939949656683e-02,6.060027618853943733e-03,1.367727262887699288e-02,6.110607853399195599e-03,2.691322938042604862e-05,5.058023454525186619e-05,1.462170021962233279e-01
3.000000000000000444e-01,-3.212844019992339817e+00,-1.746200000000000196e+00,1.616750000000000478e-02,7.323401541368206556e-03,1.626269432265486578e-02,7.316840248133006132e-03,1.628507892568155022e-02,7.365669290108766039e-03,2.238460302668443536e-05,4.882904197575990701e-05,1.462170021962233279e-01
3.250000000000000111e-01,-3.711894416315921763e+00,-2.158400000000000318e+00,1.885089999999999683e-02,8.651597102135890477e-03,1.911686885107645104e-02,8.728069387642639967e-03,1.912991003002701904e-02,8.769062444195580702e-03,1.304117895056799981e-05,4.099305655294073480e-05,1.462170021962233279e-01
