Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,1.212846131250509690e-01,1.152000000000000246e-01,1.842299999999994636e-03,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.492873313220641485e-01,1.784000000000000030e-01,1.842900000000000180e-03,7.888888219014369508e-04,1.178924719451253839e-04,5.088330749821351777e-05
5.000000000000000278e-02,2.027170097668389293e-01,2.608000000000000318e-01,1.855699999999998757e-03,7.941248096574198868e-04,4.680601555154030873e-04,2.013251446976681010e-04
7.500000000000001110e-02,3.782116914107683803e-01,3.775000000000000022e-01,1.975800000000006718e-03,8.447393579652554777e-04,1.044411638983593115e-03,4.477206463451232862e-04
1.000000000000000056e-01,3.032928179132886592e-01,5.024999999999999467e-01,2.427899999999994125e-03,1.038470904936625956e-03,1.842760332636488594e-03,7.882360510310358354e-04
1.250000000000000000e-01,3.306258254344341396e-01,4.679999999999999716e-01,3.132400000000003931e-03,1.342158194783639284e-03,2.860858622376658000e-03,1.223045118988109591e-03
1.500000000000000222e-01,-1.321902517475610050e+00,3.690999999999999837e-01,4.106800000000006799e-03,1.764527873766267132e-03,4.098307348283994345e-03,1.754436105165205163e-03
1.750000000000000167e-01,-8.579424541727103115e-01,2.215999999999999914e-01,5.804299999999997482e-03,2.509783464367846065e-03,5.556347645220494763e-03,2.386778222295562156e-03
2.000000000000000111e-01,-8.828509424467874123e-01,-2.187000000000000055e-01,7.083600000000004129e-03,3.077015471266003003e-03,7.237548663310869670e-03,3.126347319009048584e-03
2.250000000000000056e-01,-1.857866294784012773e+00,-4.834000000000000519e-01,8.816299999999999137e-03,3.858922976159462597e-03,9.145411258029857021e-03,3.981019972431418946e-03
2.500000000000000000e-01,-2.367767343115316336e+00,-9.130000000000000338e-01,1.076949999999999436e-02,4.757767540936542507e-03,1.128391364126316541e-02,4.959851963669119693e-03
2.750000000000000222e-01,-2.946530836682727639e+00,-1.282899999999999929e+00,1.296399999999999809e-02,5.787511799613197228e-03,1.365702841659570399e-02,6.072561248478713924e-03
3.000000000000000444e-01,-3.207342749267372728e+00,-1.708700000000000108e+00,1.584439999999999460e-02,7.176793884200683045e-03,1.626824115979700822e-02,7.328939937518767940e-03
3.250000000000000111e-01,-3.761170673701284883e+00,-2.202200000000000379e+00,1.904510000000000577e-02,8.761552845011533544e-03,1.912010041590224071e-02,8.738227343465524571e-03
3.500000000000000333e-01,-4.278799650004117439e+00,-2.539900000000000269e+00,2.200109999999999566e-02,1.026079067247466330e-02,2.221382856976914649e-02,1.030848530560635884e-02
3.750000000000000000e-01,-3.634672470999697591e+00,-2.795799999999999841e+00,2.516570000000000265e-02,1.190663615710531656e-02,2.554902104826121262e-02,1.204602206465101542e-02
4.000000000000000222e-01,-4.843101846620918138e+00,-3.109799999999999898e+00,2.915949999999999445e-02,1.403593784453839935e-02,2.912345554535214834e-02,1.395490749526596616e-02
4.250000000000000444e-01,-5.304818806447856083e+00,-3.338099999999999845e+00,3.220030000000000114e-02,1.569050997542902406e-02,3.293302321691457535e-02,1.603661176500165847e-02
4.500000000000000111e-01,-4.290581509562278129e+00,-3.278599999999999959e+00,3.666610000000000008e-02,1.816713218400897376e-02,3.697178267558935000e-02,1.828978706332064566e-02
4.750000000000000333e-01,-4.866236557241140126e+00,-3.394199999999999662e+00,4.139050000000000368e-02,2.083923126881229507e-02,4.123212852152799424e-02,2.071020243654450241e-02
5.000000000000000000e-01,-4.169282826663170738e+00,-3.211400000000000254e+00,4.492730000000000334e-02,2.286904918888170088e-02,4.570506005431580754e-02,2.329083456991025425e-02
5.250000000000000222e-01,-4.356457629803039744e+00,-3.095600000000000129e+00,4.931369999999999504e-02,2.541373923828943102e-02,5.038053066896645837e-02,2.602210901316675054e-02
5.500000000000000444e-01,-3.773738679858823719e+00,-2.675799999999999734e+00,5.386640000000000178e-02,2.808060233533676842e-02,5.524785228688695177e-02,2.889227528206115073e-02
5.750000000000000666e-01,-3.104906530679206078e+00,-2.234799999999999898e+00,5.943719999999999559e-02,3.136705731684209103e-02,6.029612294728506350e-02,3.188788799461926560e-02
6.000000000000000888e-01,-3.659362171363729210e+00,-1.978700000000000125e+00,6.526410000000000544e-02,3.482106390653887107e-02,6.551464216859308187e-02,3.499435821367991722e-02
6.250000000000000000e-01,-2.179119332246515217e+00,-1.378100000000000103e+00,6.952700000000000546e-02,3.734830066342665483e-02,7.089327987913968121e-02,3.819653590177785052e-02
6.500000000000000222e-01,-1.074852602051481254e+00,-1.054499999999999993e+00,7.475650000000000350e-02,4.044451475646460015e-02,7.642277070162548092e-02,4.147928561115343110e-02
6.750000000000000444e-01,-2.121220940906974661e+00,-7.177000000000000046e-01,8.106750000000000067e-02,4.416381139246451648e-02,8.209491416075659354e-02,4.482802191353564558e-02
7.000000000000000666e-01,-8.902803949897893920e-01,-2.920000000000000373e-01,8.571000000000000840e-02,4.688303436707167565e-02,8.790266940824759123e-02,4.822917585804247648e-02
7.250000000000000888e-01,-8.490983859759920760e-01,4.390000000000000152e-02,9.139900000000000801e-02,5.018868797034894275e-02,9.384013783596255320e-02,5.167056673866517180e-02
7.500000000000000000e-01,-1.436250346083263629e+00,4.198999999999999955e-01,9.922589999999999189e-02,5.467942013573034998e-02,9.990242974223398353e-02,5.514165602748696826e-02
7.750000000000000222e-01,3.482938421100797988e-01,7.498000000000000220e-01,1.051847999999999950e-01,5.805314157983539058e-02,1.060854159513431316e-01,5.863366632389247629e-02
8.000000000000000444e-01,-6.090708519363057238e-01,6.833000000000000185e-01,1.111354000000000092e-01,6.137799380488458828e-02,1.123853747460241137e-01,6.213955988185055485e-02
8.250000000000000666e-01,1.210580035280647282e+00,9.144999999999999796e-01,1.171355999999999925e-01,6.468539273741384654e-02,1.187985577089382128e-01,6.565388715966627431e-02
8.500000000000000888e-01,4.424534865028058594e-01,8.711999999999999744e-01,1.243129000000000040e-01,6.857573164010920264e-02,1.253207105994426640e-01,6.917253097587744426e-02
8.750000000000000000e-01,-7.180364201029231230e-01,7.631999999999999895e-01,1.295871999999999857e-01,7.139269305282804068e-02,1.319465921957794219e-01,7.269238112197475010e-02
9.000000000000000222e-01,1.685615329612182522e+00,7.631000000000000005e-01,1.382729000000000041e-01,7.596196503454920312e-02,1.386695334167799554e-01,7.621097658126690932e-02
9.250000000000000444e-01,-9.770689825043059606e-01,3.010999999999999788e-01,1.438046000000000046e-01,7.882954099557588912e-02,1.454810732333926271e-01,7.972615100979017766e-02
9.500000000000000666e-01,2.752388214688770152e-01,1.501000000000000112e-01,1.504542000000000102e-01,8.223991435397280669e-02,1.523706999543092411e-01,8.323571463483894761e-02
9.750000000000000888e-01,9.378532666295714970e-02,-2.231999999999999540e-01,1.582302999999999904e-01,8.617737714647201452e-02,1.593257180199040834e-01,8.673720163879622413e-02
1.000000000000000000e+00,-1.274337382964490173e+00,-6.814999999999999947e-01,1.649675000000000169e-01,8.954935326132505702e-02,1.663312517097026710e-01,9.022770437642872732e-02
1.025000000000000133e+00,-7.917864116485826553e-01,-8.399000000000000909e-01,1.717574000000000045e-01,9.291609338842211907e-02,1.733703876806034216e-01,9.370380389749080607e-02
1.050000000000000044e+00,-2.031504558499624302e+00,-1.155699999999999950e+00,1.785169000000000061e-01,9.624443627197530604e-02,1.804244480606886358e-01,9.716159277703835528e-02
1.074999999999999956e+00,-2.142341056786174036e+00,-1.181200000000000028e+00,1.852391999999999928e-01,9.953263658273261982e-02,1.874733767755337455e-01,1.005967761954281309e-01
1.100000000000000089e+00,-1.212327885041674769e+00,-1.266000000000000014e+00,1.930937999999999821e-01,1.033566529738522005e-01,1.944962158406444985e-01,1.040048338953777490e-01
1.125000000000000000e+00,-1.060772865602390924e+00,-1.362500000000000044e+00,2.009338000000000235e-01,1.071579800846958613e-01,2.014716448908552004e-01,1.073812270601296193e-01
1.150000000000000133e+00,-2.069230932178061089e+00,-1.329599999999999893e+00,2.075459000000000331e-01,1.103624045913574325e-01,2.083785541172260003e-01,1.107216351039459340e-01
1.175000000000000044e+00,-7.018723889670150928e-01,-1.059700000000000086e+00,2.140586999999999906e-01,1.135179598789631955e-01,2.151966174182131930e-01,1.140222044197998635e-01
1.200000000000000178e+00,-9.730771264601528747e-01,-9.268000000000000682e-01,2.205115000000000269e-01,1.166543165447969932e-01,2.219068299949973622e-01,1.172797844644945520e-01
1.225000000000000089e+00,1.288605247464330861e-01,-4.364000000000000101e-01,2.268862000000000101e-01,1.197644932718508887e-01,2.284919741240235558e-01,1.204921193975283106e-01
1.250000000000000000e+00,-3.448551668549904581e-01,-1.638000000000000567e-01,2.331054000000000181e-01,1.228153288043369873e-01,2.349369796971277069e-01,1.236579611407771506e-01
1.275000000000000133e+00,1.109167982310691025e+00,2.872999999999999998e-01,2.401573000000000180e-01,1.263077326375776355e-01,2.412291532636826052e-01,1.267770764050697996e-01
1.300000000000000044e+00,1.564177205603438203e+00,8.161000000000000476e-01,2.460737000000000063e-01,1.292695563782120249e-01,2.473582600952120569e-01,1.298501348545666456e-01
1.325000000000000178e+00,-1.884669747247760818e-01,1.062100000000000044e+00,2.518643999999999883e-01,1.322052001800664567e-01,2.533164559875614730e-01,1.328784822314647840e-01
1.350000000000000089e+00,3.188521262133296563e+00,1.694299999999999917e+00,2.574666999999999928e-01,1.350849934458571155e-01,2.590980770277998557e-01,1.358638154886875893e-01
1.375000000000000000e+00,3.274821931315739398e+00,1.941699999999999982e+00,2.628781000000000034e-01,1.379106815048359302e-01,2.646993055504460735e-01,1.388077853673393980e-01
1.400000000000000133e+00,2.858753158052788290e+00,2.235700000000000021e+00,2.690063999999999789e-01,1.411761925353173519e-01,2.701177387612760383e-01,1.417115567756638828e-01
1.425000000000000044e+00,3.854560583827427500e+00,2.548399999999999999e+00,2.749341000000000146e-01,1.444033063222548430e-01,2.753518925007761853e-01,1.445753601055421722e-01
1.450000000000000178e+00,2.902853139335566546e+00,2.498300000000000409e+00,2.790024999999999866e-01,1.466635077035874923e-01,2.804006759872874621e-01,1.473980675386095118e-01
1.475000000000000089e+00,3.560774551640915941e+00,2.658100000000000129e+00,2.844728999999999730e-01,1.497632124551294408e-01,2.852628747035980683e-01,1.501768274397086711e-01
1.500000000000000000e+00,4.704154098506281301e+00,2.555200000000000138e+00,2.897070999999999952e-01,1.528018306828515527e-01,2.899366784596614788e-01,1.529067872897219293e-01
1.525000000000000133e+00,2.564643668485043104e+00,2.251700000000000035e+00,2.939764000000000266e-01,1.553308127689913554e-01,2.944192890112653505e-01,1.555809308475286368e-01
1.550000000000000044e+00,3.202257314973731450e+00,2.247700000000000031e+00,2.973795000000000188e-01,1.573833199693366880e-01,2.987066348915405900e-01,1.581900475890942459e-01
1.575000000000000178e+00,2.815417771922595680e+00,1.715200000000000058e+00,3.025551000000000212e-01,1.605650551957223393e-01,3.027932115172670136e-01,1.607228431741943853e-01
1.600000000000000089e+00,2.383821169015622576e+00,1.569299999999999917e+00,3.056513999999999620e-01,1.625023706654360467e-01,3.066720557331850672e-01,1.631661918354786467e-01
