Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
0.000000000000000000e+00,-1.706570990780949823e-03,-5.300015882488091218e-03,1.053600000000003058e-03,7.941248096574198868e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.578375650407240566e-02
2.500000000000000139e-02,3.176064072832914670e-02,1.159998865534213851e-02,1.054599999999993650e-03,7.941248096574198868e-04,6.696506357725659823e-05,5.104840990642510381e-05,6.696333039485371738e-05,5.101219157548408581e-05,-1.733182402880849987e-09,-3.621833094101799570e-08,5.578375650407240566e-02
5.000000000000000278e-02,5.378599279163158442e-02,6.530000314149321528e-02,1.071399999999997094e-03,8.063421144213801794e-04,2.665162588998183125e-04,2.020988232574105140e-04,2.665081041735260781e-04,2.019628442131850103e-04,-8.154726292234487639e-09,-1.359790442255037323e-07,5.578375650407240566e-02
7.500000000000001110e-02,1.017936793693814540e-01,1.360000000000000098e-01,1.139099999999999228e-03,8.569566627292157703e-04,5.960763169925500102e-04,4.497618962676739208e-04,5.960462117600391152e-04,4.494873806083926095e-04,-3.010523251089497476e-08,-2.745156592813113167e-07,5.578375650407240566e-02
1.000000000000000056e-01,5.899913033644534760e-02,2.391999999999999682e-01,1.340500000000005749e-03,1.010545636904716747e-03,1.053195018134288168e-03,7.923754097684949623e-04,1.053097745168264784e-03,7.919661520098233076e-04,-9.727296602338349196e-08,-4.092577586716546895e-07,5.578375650407240566e-02
1.250000000000000000e-01,1.327215876247450077e-01,3.548000000000000043e-01,1.710099999999997169e-03,1.291543646475803693e-03,1.635365987028429644e-03,1.230187558276501624e-03,1.635107442136431643e-03,1.229713677801532682e-03,-2.585448919980009447e-07,-4.738804749689420892e-07,5.578375650407240566e-02
1.500000000000000222e-01,-3.709771705069264125e-01,2.998999999999999999e-01,2.358400000000003115e-03,1.792453141798176341e-03,2.339859862538623981e-03,1.765402376550607869e-03,2.339284486845068234e-03,1.765024780337892413e-03,-5.753756935557470531e-07,-3.775962127154555009e-07,5.578375650407240566e-02
1.750000000000000167e-01,-6.031833597344078424e-01,3.216999999999999860e-01,3.344499999999996347e-03,2.570869988187647094e-03,3.163579135845162073e-03,2.402097855220567714e-03,3.162468705468507706e-03,2.402085557697265956e-03,-1.110430376654366474e-06,-1.229752330175748476e-08,5.578375650407240566e-02
2.000000000000000111e-01,-4.446613523784702648e-01,2.056000000000000050e-01,4.221199999999996136e-03,3.279473664497345366e-03,4.102934174092619582e-03,3.146035381870797721e-03,4.101018588706031517e-03,3.146768358778912703e-03,-1.915585386588064543e-06,7.329769081149822840e-07,5.578375650407240566e-02
2.250000000000000056e-01,-8.187212575646272139e-01,3.099999999999993820e-03,5.194100000000006177e-03,4.087561108170719749e-03,5.153743760131692525e-03,4.004377243977642713e-03,5.150720096844123123e-03,4.006332415529483687e-03,-3.023663287569401670e-06,1.955171551840974298e-06,5.578375650407240566e-02
2.500000000000000000e-01,-8.846736229582188304e-01,-1.733999999999999986e-01,6.248699999999999394e-03,4.993386989955776907e-03,6.311174472371074672e-03,4.985321132797678259e-03,6.306727867010013949e-03,4.989046215277757011e-03,-4.446605361060722295e-06,3.725082480078752145e-06,5.578375650407240566e-02
2.750000000000000222e-01,-9.531178040950711861e-01,-3.662999999999999590e-01,7.403700000000000905e-03,6.024876577884425398e-03,7.569742550979650757e-03,6.097652585338577368e-03,7.563562679427569130e-03,6.103737113421724841e-03,-6.179871552081626918e-06,6.084528083147473787e-06,5.578375650407240566e-02
3.000000000000000444e-01,-1.851373543125344412e+00,-5.415999999999999703e-01,8.672300000000007780e-03,7.208209810736580445e-03,8.923399456893965631e-03,7.350217248272453846e-03,8.915189203013665353e-03,7.359268369423394192e-03,-8.210253880300277807e-06,9.051121150940345805e-06,5.578375650407240566e-02
3.250000000000000111e-01,-2.103475460235545658e+00,-7.027999999999999803e-01,1.004900000000000758e-02,8.548622676268225959e-03,1.036570532759896121e-02,8.751331451927716817e-03,1.035518205883112844e-02,8.763955481487827395e-03,-1.052326876783277187e-05,1.262402956011057786e-05,5.578375650407240566e-02
3.500000000000000333e-01,-1.853083387795617432e+00,-8.798000000000000265e-01,1.151460000000000157e-02,1.004087918672337890e-02,1.189007175171561195e-02,1.030817576987270306e-02,1.187696467276256815e-02,1.032496102327716721e-02,-1.310707895304380477e-05,1.678525340446414271e-05,5.578375650407240566e-02
3.750000000000000000e-01,-2.129371825031776577e+00,-1.123099999999999987e+00,1.304089999999999416e-02,1.166229006182611071e-02,1.349004107180522445e-02,1.202623433531080713e-02,1.347408924810994044e-02,1.204773148278994767e-02,-1.595182369528401478e-05,2.149714747914054092e-05,5.578375650407240566e-02
