Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter2_Right_X_Displacement_Delta(m),Iter2_Left_X_Displacement_Delta(m),Iter3_Right_X_Displacement_Delta(m),Iter3_Left_X_Displacement_Delta(m),Iter4_Right_X_Displacement_Delta(m),Iter4_Left_X_Displacement_Delta(m),Iter5_Right_X_Displacement_Delta(m),Iter5_Left_X_Displacement_Delta(m),Iter6_Right_X_Displacement_Delta(m),Iter6_Left_X_Displacement_Delta(m),Iter7_Right_X_Displacement_Delta(m),Iter7_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad),Iter2_Right_Rotation_Delta(rad),Iter2_Left_Rotation_Delta(rad),Iter3_Right_Rotation_Delta(rad),Iter3_Left_Rotation_Delta(rad),Iter4_Right_Rotation_Delta(rad),Iter4_Left_Rotation_Delta(rad),Iter5_Right_Rotation_Delta(rad),Iter5_Left_Rotation_Delta(rad),Iter6_Right_Rotation_Delta(rad),Iter6_Left_Rotation_Delta(rad),Iter7_Right_Rotation_Delta(rad),Iter7_Left_Rotation_Delta(rad)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.333570498420649005e-07,-4.256148242501832379e-08,1.727222616171840159e-07,-5.530475433100884124e-08,1.302015414814344883e-07,-4.748273075023804780e-08,-3.961610442748946404e-08,-1.733182402880849987e-09,4.838233020601143131e-11,6.704063596824809748e-09,2.668585002453538468e-08,-1.341961843246406751e-08,-6.349938608688821852e-09,-1.369209523183396483e-08,1.759185322670900006e-07,1.759185322670900006e-07,2.280270159481928571e-07,2.280270159481928571e-07,1.776551880276874742e-07,1.777751051003717358e-07,-3.848931998613654972e-08,-3.621833094101799570e-08,-6.655681266625574580e-09,-6.655681266625574580e-09,4.010546845700622845e-08,4.010546845700622845e-08,7.432080103008135638e-09,7.163337492892708075e-09
5.000000000000000278e-02,6.850874377564686833e-07,-2.399172855391067637e-07,8.573265556698701946e-07,-2.852514368652941945e-07,5.971214933623756292e-07,-2.355330208496939429e-07,-1.517702265030123829e-07,-8.154726292234487639e-09,-3.210881206153638062e-08,4.492699645002127401e-08,1.423674132489268461e-07,-7.698450766967365397e-08,-1.121164108709889196e-09,-6.133179254123443530e-08,9.250047232956025520e-07,9.250047232956025520e-07,1.142577992535164389e-06,1.142577992535164389e-06,8.325045034023059211e-07,8.331053734685739919e-07,-1.466238049156493462e-07,-1.359790442255037323e-07,-7.703580851161186474e-08,-7.703580851161186474e-08,2.193519209186276051e-07,2.193519209186276051e-07,6.072649368307910488e-08,5.925663907146538727e-08
7.500000000000001110e-02,1.928239963856510225e-06,-7.433791181123269518e-07,2.343178931426236067e-06,-8.244925905110962044e-07,1.535051995763155042e-06,-6.618422133250131956e-07,-3.242575046318810911e-07,-3.010523251089497476e-08,-1.498113927015775476e-07,1.473442606818482770e-07,4.105862233280774959e-07,-2.311152704251003345e-07,5.666270911958322387e-08,-1.552813448898234666e-07,2.671619081968891387e-06,2.671619081968891387e-06,3.167671521937332271e-06,3.167671521937332271e-06,2.196460616877475656e-06,2.198126462893781365e-06,-3.026062354165065700e-07,-2.745156592813113167e-07,-2.971556533834800347e-07,-2.971556533834800347e-07,6.417014937530694102e-07,6.417014937530694102e-07,2.134927336135605466e-07,2.091927580494690880e-07
1.000000000000000056e-01,4.049030862632221200e-06,-1.723796013411785233e-06,4.806344135481607424e-06,-1.816838654603849731e-06,3.023784521517846116e-06,-1.431282420982738987e-06,-5.452185058158875303e-07,-9.727296602338349196e-08,-3.795328151520293430e-07,3.374652984978587095e-07,8.710583887018043259e-07,-5.015353406563269334e-07,1.909250447581969240e-07,-3.052318531086839482e-07,5.772826876044006433e-06,5.772826876044006433e-06,6.623182790085131895e-06,6.623182790085131895e-06,4.454111485656408499e-06,4.457594549664195722e-06,-4.662288857714119023e-07,-4.092577586716546895e-07,-7.169981136499964727e-07,-7.169981136499964727e-07,1.372593729358456520e-06,1.372593729358456520e-06,4.995176344871907551e-07,4.903200253916209159e-07
1.250000000000000000e-01,7.094117233587878685e-06,-3.350103402046311282e-06,8.264090566141839983e-06,-3.398106052750725359e-06,5.051950273454383633e-06,-2.635389416687661940e-06,-7.970711820969728079e-07,-2.585448919980009447e-07,-7.157952364904643372e-07,6.262697997408070427e-07,1.521867075043262935e-06,-8.962221513090801867e-07,4.072408512217906562e-07,-5.156371143378267463e-07,1.044422063563462365e-05,1.044422063563462365e-05,1.166219661889278218e-05,1.166219661889278218e-05,7.685552660965282515e-06,7.691685690745927659e-06,-5.721926272866332402e-07,-4.738804749689420892e-07,-1.342065036231271380e-06,-1.342065036231271380e-06,2.418089226351909440e-06,2.418089226351909440e-06,9.288834578150169385e-07,9.126800911618201950e-07
1.500000000000000222e-01,1.092485670703673833e-05,-5.747179366508148313e-06,1.254553682258040259e-05,-5.662978377934686086e-06,7.483790459737564571e-06,-4.319349915123810169e-06,-1.048747324237236933e-06,-5.753756935557470531e-07,-1.122765880326274945e-06,1.010938549809992093e-06,2.305039450165545512e-06,-1.405260252595845472e-06,6.950988032938809624e-07,-7.832742257435354460e-07,1.667203607354488665e-05,1.667203607354488665e-05,1.820851520051487184e-05,1.820851520051487184e-05,1.180016227252003551e-05,1.180973794420855580e-05,-5.285529232591183041e-07,-3.775962127154555009e-07,-2.133704430136917560e-06,-2.133704430136917560e-06,3.710299702761607823e-06,3.710299702761607823e-06,1.487789533138840145e-06,1.462927197282311298e-06
1.750000000000000167e-01,1.519158538842643735e-05,-8.947785460405519031e-06,1.727971038582420266e-05,-8.624618642522671047e-06,1.003883406922728705e-05,-6.450279826754508339e-06,-1.251218785056767979e-06,-1.110430376654366474e-06,-1.541320050995990953e-06,1.476425653900836216e-06,3.107141072094567191e-06,-2.003155165968602963e-06,1.031294128793665277e-06,-1.096256512910214614e-06,2.413937084883108902e-05,2.413937084883108902e-05,2.590432902834600634e-05,2.590432902834600634e-05,1.648457829735248265e-05,1.649820111872778161e-05,-2.231982269679765041e-07,-1.229752330175748476e-08,-3.017745704896827169e-06,-3.017745704896827169e-06,5.110296238063170154e-06,5.110296238063170154e-06,2.140973577989795790e-06,2.106730009659475711e-06
2.000000000000000111e-01,1.933473158234264022e-05,-1.285943204409369101e-05,2.189887349289716678e-05,-1.218205662421260188e-05,1.228947087448997028e-05,-8.902162296011567610e-06,-1.339933797415635008e-06,-1.915585386588064543e-06,-1.900501373146984418e-06,1.999893688438281192e-06,3.783037682623772990e-06,-2.653362368786917058e-06,1.384013609574512305e-06,-1.435419827195728859e-06,3.219416362643676491e-05,3.219416362643676491e-05,3.408093011711020234e-05,3.408093011711020234e-05,2.118522675166730970e-05,2.120314956382618812e-05,4.619076305451517983e-07,7.329769081149822840e-07,-3.900395061585265610e-06,-3.900395061585265610e-06,6.436400051409822687e-06,6.436400051409822687e-06,2.837213344499076723e-06,2.794083691208450876e-06
2.250000000000000056e-01,2.261069262664804069e-05,-1.726143925622446174e-05,2.565606555487986995e-05,-1.610972887617061894e-05,1.367639516382940235e-05,-1.146558769181231507e-05,-1.243619699097323061e-06,-3.023663287569401670e-06,-2.132606893091512634e-06,2.557191745471316946e-06,4.198273602861249398e-06,-3.314514474047486337e-06,1.719571175413242559e-06,-1.778289061820509387e-06,3.987213188287250243e-05,3.987213188287250243e-05,4.176579443105222361e-05,4.176579443105222361e-05,2.513351091418779271e-05,2.515547511779646361e-05,1.633533670210469968e-06,1.955171551840974298e-06,-4.689798638561962218e-06,-4.689798638561962218e-06,7.512788076909603097e-06,7.512788076909603097e-06,3.520070457070645364e-06,3.469728038573739737e-06
