Time(s),Fb_Right_Filtered(N),Mb_Right_Filtered(Nm),Fb_Left_Filtered(N),Mb_Left_Filtered(Nm),Fb_Right_Raw(N),Mb_Right_Raw(Nm),Fb_Left_Raw(N),Mb_Left_Raw(Nm),Ext_Force_Body(N),Ext_Moment_Body(Nm),X_Num_Right_Interface(m),X_Exp_Right_Interface(m),X_Cmd_Right_Interface(m),Rz_Num_Right_Interface(rad),Rz_Exp_Right_Interface(rad),Rz_Cmd_Right_Interface(rad),X_Num_Left_Interface(m),X_Exp_Left_Interface(m),X_Cmd_Left_Interface(m),Rz_Num_Left_Interface(rad),Rz_Exp_Left_Interface(rad),Rz_Cmd_Left_Interface(rad),X_Body_COM(m),Rz_Body(rad)
0.000000000000000000e+00,8.070231917735243288e-02,7.061830526003427810e-02,-9.498716142599802903e-02,-4.115451538645633484e-02,8.239371432281983321e-02,7.170000366508220979e-02,-9.368285353891676881e-02,-4.050001483523693602e-02,4.501246882793017789e+02,5.004987531172069737e+01,0.000000000000000000e+00,1.844599999999999842e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.053299999999993131e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.397061117081694948e-01,1.924541199302365335e-01,-6.034663742699192257e-02,-2.789460223588621779e-02,2.166955738178746316e-01,1.609000041885451093e-01,-8.728911361187360884e-02,-5.670002321279266067e-02,4.372199251494733403e+02,4.750381026508353699e+01,1.179660039644699488e-04,1.845200000000005603e-03,1.179825321891197684e-04,5.103415624960491541e-05,7.923794804054256832e-04,5.101988120834378320e-05,6.693184771486501987e-05,1.053700000000006368e-03,6.696257526002588059e-05,5.103415624960491541e-05,7.923794804054256832e-04,5.102009181423856747e-05,9.244892583966748435e-05,5.103415624960491541e-05
5.000000000000000278e-02,3.296649306319577866e-01,3.143165365278044465e-01,-4.217977180261772013e-02,-3.411941625321045419e-04,2.701683496407052965e-01,2.635000136131667725e-01,-4.742706398370926529e-02,-2.700000000000002398e-02,4.268689105397496633e+02,4.565820534416518228e+01,4.684289419257083920e-04,1.865700000000003987e-03,4.684834723180762044e-04,2.020485620795924519e-04,8.011061266653973518e-04,2.019688604638797424e-04,2.663803798461159673e-04,1.080399999999997421e-03,2.665141854683022050e-04,2.020485620795924519e-04,8.115781021773632239e-04,2.019700216794922325e-04,3.674046608859121796e-04,2.020485620795924519e-04
7.500000000000001110e-02,3.005219552236381153e-01,4.265318313195688993e-01,-5.513618194554217172e-02,4.706077949503738311e-02,3.322030606793139329e-01,4.088999999999999857e-01,-8.726599893753299308e-02,3.870000000000006768e-02,4.190590495251834682e+02,4.469092631349712263e+01,1.045424055604000663e-03,2.004400000000003835e-03,1.045526200726891019e-03,4.496655461521514700e-04,8.604473212332043944e-04,4.494413864694171462e-04,5.957585094518492476e-04,1.197599999999994199e-03,5.960835476108557142e-04,4.496655461521514700e-04,9.005898940290740047e-04,4.494448001989975196e-04,8.205912825279249555e-04,4.496655461521514700e-04
1.000000000000000056e-01,1.396713171987214730e-01,5.076076876455476450e-01,-1.076556581418551400e-01,1.073332281575106878e-01,3.043378930711282959e-01,5.130000000000000115e-01,-5.669969524788162629e-02,1.144999999999999907e-01,4.135948393300211592e+02,4.472952377320435602e+01,1.844832652541160455e-03,2.380099999999998710e-03,1.845002681631889270e-03,7.922361381414907413e-04,1.022762941668677039e-03,7.917961886743699572e-04,1.052596514399669605e-03,1.456299999999998915e-03,1.053203759004079591e-03,7.922361381414907413e-04,1.096066770252438795e-03,7.918035105330458465e-04,1.448714583470415030e-03,7.922361381414907413e-04
1.250000000000000000e-01,-1.266108423899040825e-01,5.289970122753249182e-01,-2.004540051311848869e-01,1.626670506999287613e-01,4.037719286264351282e-01,5.777999999999999803e-01,5.113255402016937678e-02,1.658000000000000029e-01,4.101216739291513136e+02,4.583900056739177842e+01,2.864394190181780622e-03,3.046300000000002218e-03,2.864678320718409138e-03,1.230039121046449602e-03,1.310742268247741451e-03,1.229346501553832405e-03,1.634355069135331236e-03,1.787599999999997698e-03,1.635326947558389706e-03,1.230039121046449602e-03,1.349139511791616532e-03,1.229359423147204739e-03,2.249374629658555929e-03,1.230039121046449602e-03
1.500000000000000222e-01,-4.507388840096688831e-01,4.649035840774908834e-01,-3.286984763279601207e-01,1.908575804816800281e-01,-1.444322232805814288e+00,4.649999999999999689e-01,-7.278039259515914905e-01,1.930999999999999939e-01,4.081590155386284096e+02,4.801379441140586835e+01,4.103604190453789304e-03,4.389499999999998438e-03,4.104072274031872122e-03,1.765348268520302915e-03,1.897172896917836363e-03,1.764401237460948768e-03,2.338255921933486171e-03,2.224599999999995418e-03,2.339663409709949200e-03,1.765348268520302915e-03,1.687733386678516535e-03,1.764421093325683945e-03,3.220930056193637737e-03,1.765348268520302915e-03
1.750000000000000167e-01,-7.922606213439430389e-01,3.017058231502457999e-01,-4.868829243028814924e-01,1.733201088686441016e-01,-9.024821343734039658e-01,3.432000000000000051e-01,-5.841344906939430759e-01,2.024000000000000243e-01,4.071406360985847073e+02,5.117469873105106615e+01,5.563503720925536307e-03,5.469099999999997574e-03,5.564228516698474861e-03,2.402366630978810397e-03,2.371902453460293572e-03,2.401168794926539923e-03,3.161137089946725910e-03,3.019800000000003471e-03,3.163048859341905696e-03,2.402366630978810397e-03,2.312561258892486746e-03,2.401196185618000110e-03,4.362320405436131109e-03,2.402366630978810397e-03
2.000000000000000111e-01,-1.137634475975051407e+00,4.224311698154151196e-02,-6.718799251930120953e-01,1.011525955454201375e-01,-4.302886867949659022e-01,2.979999999999999663e-02,-1.373258628805675285e-01,1.349000000000000199e-01,4.064592057585302314e+02,5.517107273290907443e+01,7.246368121196210613e-03,7.246499999999997735e-03,7.247395806844319881e-03,3.147033013318186433e-03,3.166027263117713892e-03,3.145546316920840198e-03,4.099335107878023313e-03,3.722399999999993336e-03,4.101835109390350800e-03,3.147033013318186433e-03,2.878047936538649480e-03,3.145580880784494202e-03,5.672851614537116963e-03,3.147033013318186433e-03
2.250000000000000056e-01,-1.497483502466398608e+00,-2.964854172921707054e-01,-8.811342034290772229e-01,-2.315377805901287084e-02,-1.719041657004493073e+00,-3.360999999999999543e-01,-1.296731051769062226e+00,-6.930000000000002824e-02,4.055122542481453252e+02,5.978828870153687092e+01,9.155310255252110951e-03,8.704599999999999838e-03,9.156636940463184007e-03,4.006710173267618268e-03,3.825761720371570560e-03,4.004816542835961529e-03,5.148600081984491816e-03,4.701199999999999997e-03,5.151802440702093339e-03,4.006710173267618268e-03,3.686135380212023863e-03,4.004856983828514530e-03,7.151955168618301384e-03,4.006710173267618268e-03
