Time (s),Ref_Disp (m),Num_Disp (m),Exp_Disp (m),Ref_Rot (rad),Num_Rot (rad),Exp_Rot (rad),,Diff_Ref_Num_Disp (m),Diff_Ref_Exp_Disp (m),Diff_Ref_Num_Rot (rad),Diff_Ref_Exp_Rot (rad),,RMSE_Ref_Num_Disp (m),RMSE_Ref_Exp_Disp (m),RMSE_Ref_Num_Rot (rad),RMSE_Ref_Exp_Rot (rad)
0,0,0,0,0,0,0,,0,0,0,0,,1.43E-05,1.83E-05,1.82E-05,2.27E-05
0.05,4.11E-06,3.41E-06,3.41E-06,-1.35E-06,-3.39E-07,-3.39E-07,,4.9E-13,4.9E-13,1.02212E-12,1.02212E-12,,,,,
0.1,6.58E-05,6.36E-05,6.36E-05,-8.22E-05,-7.99E-05,-7.99E-05,,4.84E-12,4.84E-12,5.29E-12,5.29E-12,,,,,
0.15,0.000389588,0.00039227,0.00039227,-0.000799939,-0.000806526,-0.000806526,,7.19312E-12,7.19312E-12,4.33886E-11,4.33886E-11,,,,,
0.2,0.000978774,0.001003757,0.001003756,-0.003229906,-0.003261338,-0.003261337,,6.2415E-10,6.241E-10,9.87971E-10,9.87908E-10,,,,,
0.25,0.000120817,0.000155524,0.000155523,-0.005818811,-0.005836633,-0.005836632,,1.20458E-09,1.20451E-09,3.17624E-10,3.17588E-10,,,,,
0.3,-0.005845951,-0.005862614,-0.005862611,-0.001154719,-0.001094777,-0.001094781,,2.77656E-10,2.77556E-10,3.59304E-09,3.59256E-09,,,,,
0.35,-0.01761142,-0.017672654,-0.017672646,0.014840029,0.01489646,0.014896452,,3.7496E-09,3.74862E-09,3.18446E-09,3.18355E-09,,,,,
0.4,-0.029289959,-0.029300953,-0.029300952,0.031267776,0.031219058,0.031219067,,1.20868E-10,1.20846E-10,2.37344E-09,2.37257E-09,,,,,
0.45,-0.035424558,-0.035397293,-0.035397316,0.036984917,0.036953233,0.036953265,,7.4338E-10,7.42127E-10,1.00388E-09,1.00185E-09,,,,,
0.5,-0.037275464,-0.037284229,-0.037284252,0.037392512,0.037429067,0.037429071,,7.68252E-11,7.72289E-11,1.33627E-09,1.33656E-09,,,,,
0.55,-0.03724736,-0.037258193,-0.037258172,0.038616285,0.038609477,0.038609426,,1.17354E-10,1.16899E-10,4.63489E-11,4.70459E-11,,,,,
0.6,-0.034947899,-0.034944079,-0.03494404,0.03794381,0.037935159,0.037935133,,1.45924E-11,1.48919E-11,7.48398E-11,7.52903E-11,,,,,
0.65,-0.030078013,-0.030078784,-0.030078778,0.034577307,0.034580707,0.034580736,,5.94441E-13,5.85225E-13,1.156E-11,1.1758E-11,,,,,
